date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:36	290/290	---M--	500	error ('INTERNAL%20SERVER%20ERROR')	text/html	date:Mon,%2030%20Aug%202021%2016:19:36%20GMT	http://briefnarrative.pythonanywhere.com/robots.txt		(from )
22:19:37	3406/3406	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:37%20GMT	http://briefnarrative.pythonanywhere.com/	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/index.html	(from )
22:19:38	3136/3136	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:17%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/apple-icon-180x180.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/apple-icon-180x180.png	(from http://briefnarrative.pythonanywhere.com/)
22:19:38	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/icon.ico	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/icon.ico	(from http://briefnarrative.pythonanywhere.com/)
22:19:40	3406/3406	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:39%20GMT	http://briefnarrative.pythonanywhere.com/index.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/index-2.html	(from http://briefnarrative.pythonanywhere.com/)
22:19:40	109725/109725	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/main.3f6952e4.css	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/main.3f6952e4.css	(from http://briefnarrative.pythonanywhere.com/)
22:19:41	10253/10253	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:40%20GMT	http://briefnarrative.pythonanywhere.com/works.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/works.html	(from http://briefnarrative.pythonanywhere.com/)
22:19:42	5810/5810	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:42%20GMT	http://briefnarrative.pythonanywhere.com/about.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/about.html	(from http://briefnarrative.pythonanywhere.com/)
22:19:42	7805/7805	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:42%20GMT	http://briefnarrative.pythonanywhere.com/contact.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/contact.html	(from http://briefnarrative.pythonanywhere.com/)
22:19:46	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/mahbu/Desktop/My_site/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://briefnarrative.pythonanywhere.com/static/main.3f6952e4.css)
22:19:47	5564/5564	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:46%20GMT	http://briefnarrative.pythonanywhere.com/TV_series.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/TV_series.html	(from http://briefnarrative.pythonanywhere.com/works.html)
22:19:51	237414/237414	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/main.70a66962.js	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/main.70a66962.js	(from http://briefnarrative.pythonanywhere.com/)
22:19:52	6285/6285	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:19:52%20GMT	http://briefnarrative.pythonanywhere.com/Movies.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/Movies.html	(from http://briefnarrative.pythonanywhere.com/works.html)
22:20:16	196358/196358	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:21%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/lucifer.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/lucifer.png	(from http://briefnarrative.pythonanywhere.com/works.html)
22:20:18	7267/7267	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:20:17%20GMT	http://briefnarrative.pythonanywhere.com/MCU.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/MCU.html	(from http://briefnarrative.pythonanywhere.com/works.html)
22:20:31	324363/324363	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/final%202%20new-100.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/final%202%20new-100.jpg	(from http://briefnarrative.pythonanywhere.com/)
22:20:33	6362/6362	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:20:32%20GMT	http://briefnarrative.pythonanywhere.com/Others.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/Others.html	(from http://briefnarrative.pythonanywhere.com/works.html)
22:20:52	393838/393838	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:20%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/movie/raya_the%20_last_dragon_final.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/movie/raya_the%20_last_dragon_final.png	(from http://briefnarrative.pythonanywhere.com/works.html)
22:20:53	5840/5840	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Aug%202021%2016:20:53%20GMT	http://briefnarrative.pythonanywhere.com/Logo.html	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/Logo.html	(from http://briefnarrative.pythonanywhere.com/works.html)
22:21:07	281813/281813	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:21%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/falcon%20and%20the%20winter%20soldier.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/falcon%20and%20the%20winter%20soldier.png	(from http://briefnarrative.pythonanywhere.com/works.html)
22:21:36	398802/398802	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/kodom.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/kodom.png	(from http://briefnarrative.pythonanywhere.com/works.html)
22:21:41	201152/201152	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:17%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/contact/contact_us_background2.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/contact/contact_us_background2.jpg	(from http://briefnarrative.pythonanywhere.com/about.html)
